organization_city,report_issue_date,exam_num,diagnoise_num
台州市,2022-05-13,949,529
台州市,2022-05-14,390,135
台州市,2022-05-15,458,235
台州市,2022-05-16,1104,572
台州市,2022-05-17,1082,762
台州市,2022-05-18,1084,576
台州市,2022-05-19,663,273
台州市,2022-05-20,650,380
台州市,2022-05-21,690,492
台州市,2022-05-22,30,11
台州市,2022-05-23,799,462
台州市,2022-05-24,859,671
台州市,2022-05-25,901,670
台州市,2022-05-26,330,247
台州市,2022-05-27,720,554
台州市,2022-05-28,676,533
台州市,2022-05-29,97,52
台州市,2022-05-30,828,569
台州市,2022-05-31,1221,666
台州市,2022-06-01,1363,741
台州市,2022-06-02,754,538
台州市,2022-06-03,75,75
台州市,2022-06-04,398,299
台州市,2022-06-05,109,72
台州市,2022-06-06,1157,780
台州市,2022-06-07,1130,618
台州市,2022-06-08,911,639
台州市,2022-06-09,592,311
台州市,2022-06-10,997,663
台州市,2022-06-11,707,530
台州市,2022-06-12,316,237
台州市,2022-06-13,847,583
台州市,2022-06-14,960,714
台州市,2022-06-15,805,457
台州市,2022-06-16,603,393
台州市,2022-06-17,799,573
台州市,2022-06-18,555,439
台州市,2022-06-19,131,89
台州市,2022-06-20,575,482
台州市,2022-06-21,773,655
台州市,2022-06-22,816,543
台州市,2022-06-23,850,519
台州市,2022-06-24,622,439
台州市,2022-06-25,403,265
台州市,2022-06-26,36,28
台州市,2022-06-27,814,482
台州市,2022-06-28,550,403
台州市,2022-06-29,1070,540
台州市,2022-06-30,383,237
台州市,2022-07-01,629,355
台州市,2022-07-02,776,565
台州市,2022-07-03,181,139
台州市,2022-07-04,715,442
台州市,2022-07-05,552,376
台州市,2022-07-06,1664,1063
台州市,2022-07-07,1053,643
台州市,2022-07-08,969,532
台州市,2022-07-09,854,611
台州市,2022-07-10,108,92
台州市,2022-07-11,660,372
台州市,2022-07-12,667,402
台州市,2022-07-13,902,659
台州市,2022-07-14,300,203
台州市,2022-07-15,399,199
台州市,2022-07-16,395,314
台州市,2022-07-17,48,41
台州市,2022-07-18,838,493
台州市,2022-07-19,738,559
台州市,2022-07-20,478,369
台州市,2022-07-21,538,377
台州市,2022-07-22,594,390
